,station_code,Date,Avg_pm_25_value
698,site_1560,07-09-2020,0
699,site_1560,08-09-2020,0
700,site_1560,09-09-2020,0
701,site_1560,10-09-2020,0
702,site_1560,11-09-2020,0
703,site_103,01-09-2020,0
704,site_103,02-09-2020,0
705,site_103,03-09-2020,0
706,site_103,04-09-2020,0
707,site_103,05-09-2020,0
708,site_103,06-09-2020,0
709,site_103,07-09-2020,0
710,site_103,08-09-2020,0
711,site_103,09-09-2020,0
712,site_103,10-09-2020,0
713,site_103,11-09-2020,0
714,site_118,01-09-2020,0
715,site_118,02-09-2020,0
716,site_118,03-09-2020,0
717,site_118,04-09-2020,0
718,site_118,05-09-2020,0
719,site_118,06-09-2020,0
720,site_118,07-09-2020,0
721,site_118,08-09-2020,0
722,site_118,09-09-2020,0
723,site_118,10-09-2020,0
724,site_118,11-09-2020,0
725,site_1421,01-09-2020,0
726,site_1421,02-09-2020,0
727,site_1421,03-09-2020,0
728,site_1421,04-09-2020,0
729,site_1421,05-09-2020,0
730,site_1421,06-09-2020,0
731,site_1421,07-09-2020,0
732,site_1421,08-09-2020,0
733,site_1421,09-09-2020,0
734,site_1421,10-09-2020,0
735,site_1421,11-09-2020,0
736,site_1422,01-09-2020,0
737,site_1422,02-09-2020,0
738,site_1422,03-09-2020,0
739,site_1422,04-09-2020,0
740,site_1422,05-09-2020,0
741,site_1422,06-09-2020,0
742,site_1422,07-09-2020,0
743,site_1422,08-09-2020,0
744,site_1422,09-09-2020,0
745,site_1422,10-09-2020,0
746,site_1422,11-09-2020,0
747,site_106,01-09-2020,0
748,site_106,02-09-2020,0
749,site_106,03-09-2020,0
750,site_106,04-09-2020,0
751,site_106,05-09-2020,0
752,site_106,06-09-2020,0
753,site_106,07-09-2020,0
754,site_106,08-09-2020,0
755,site_106,09-09-2020,0
756,site_106,10-09-2020,0
757,site_106,11-09-2020,0
758,site_114,01-09-2020,0
759,site_114,02-09-2020,0
760,site_114,03-09-2020,0
761,site_114,04-09-2020,0
762,site_114,05-09-2020,0
763,site_114,06-09-2020,0
764,site_114,07-09-2020,0
765,site_114,08-09-2020,0
766,site_114,09-09-2020,0
767,site_114,10-09-2020,0
768,site_114,11-09-2020,0
769,site_117,01-09-2020,0
770,site_117,02-09-2020,0
771,site_117,03-09-2020,0
772,site_117,04-09-2020,0
773,site_117,05-09-2020,0
774,site_117,06-09-2020,0
775,site_117,07-09-2020,0
776,site_117,08-09-2020,0
777,site_117,09-09-2020,0
778,site_117,10-09-2020,0
779,site_117,11-09-2020,0
780,site_1423,01-09-2020,0
781,site_1423,02-09-2020,0
782,site_1423,03-09-2020,0
783,site_1423,04-09-2020,0
784,site_1423,05-09-2020,0
785,site_1423,06-09-2020,0
786,site_1423,07-09-2020,0
787,site_1423,08-09-2020,0
788,site_1423,09-09-2020,0
789,site_1423,10-09-2020,0
790,site_1423,11-09-2020,0
791,site_1424,01-09-2020,0
792,site_1424,02-09-2020,0
793,site_1424,03-09-2020,0
794,site_1424,04-09-2020,0
795,site_1424,05-09-2020,0
796,site_1424,06-09-2020,0
797,site_1424,07-09-2020,0
798,site_1424,08-09-2020,0
799,site_1424,09-09-2020,0
800,site_1424,10-09-2020,0
801,site_1424,11-09-2020,0
802,site_109,01-09-2020,0
803,site_109,02-09-2020,0
804,site_109,03-09-2020,0
805,site_109,04-09-2020,0
806,site_109,05-09-2020,0
807,site_109,06-09-2020,0
808,site_109,07-09-2020,0
809,site_109,08-09-2020,0
810,site_109,09-09-2020,0
811,site_109,10-09-2020,0
812,site_109,11-09-2020,0
813,site_1425,01-09-2020,0
814,site_1425,02-09-2020,0
815,site_1425,03-09-2020,0
816,site_1425,04-09-2020,0
817,site_1425,05-09-2020,0
818,site_1425,06-09-2020,0
819,site_1425,07-09-2020,0
820,site_1425,08-09-2020,0
821,site_1425,09-09-2020,0
822,site_1425,10-09-2020,0
823,site_1425,11-09-2020,0
824,site_122,01-09-2020,0
825,site_122,02-09-2020,0
826,site_122,03-09-2020,0
827,site_122,04-09-2020,0
828,site_122,05-09-2020,0
829,site_122,06-09-2020,0
830,site_122,07-09-2020,0
831,site_122,08-09-2020,0
832,site_122,09-09-2020,0
833,site_122,10-09-2020,0
834,site_122,11-09-2020,0
835,site_1561,01-09-2020,0
836,site_1561,02-09-2020,0
837,site_1561,03-09-2020,0
838,site_1561,04-09-2020,0
839,site_1561,05-09-2020,0
840,site_1561,06-09-2020,0
841,site_1561,07-09-2020,0
842,site_1561,08-09-2020,0
843,site_1561,09-09-2020,0
844,site_1561,10-09-2020,0
845,site_1561,11-09-2020,0
846,site_115,01-09-2020,0
847,site_115,02-09-2020,0
848,site_115,03-09-2020,0
849,site_115,04-09-2020,0
850,site_115,05-09-2020,0
851,site_115,06-09-2020,0
852,site_115,07-09-2020,0
853,site_115,08-09-2020,0
854,site_115,09-09-2020,0
855,site_115,10-09-2020,0
856,site_115,11-09-2020,0
857,site_1427,01-09-2020,0
858,site_1427,02-09-2020,0
859,site_1427,03-09-2020,0
860,site_1427,04-09-2020,0
861,site_1427,05-09-2020,0
862,site_1427,06-09-2020,0
863,site_1427,07-09-2020,0
864,site_1427,08-09-2020,0
865,site_1427,09-09-2020,0
866,site_1427,10-09-2020,0
867,site_1427,11-09-2020,0
868,site_1426,01-09-2020,0
869,site_1426,02-09-2020,0
870,site_1426,03-09-2020,0
871,site_1426,04-09-2020,0
872,site_1426,05-09-2020,0
873,site_1426,06-09-2020,0
874,site_1426,07-09-2020,0
875,site_1426,08-09-2020,0
876,site_1426,09-09-2020,0
877,site_1426,10-09-2020,0
878,site_1426,11-09-2020,0
879,site_1429,01-09-2020,0
880,site_1429,02-09-2020,0
881,site_1429,03-09-2020,0
882,site_1429,04-09-2020,0
883,site_1429,05-09-2020,0
884,site_1429,06-09-2020,0
885,site_1429,07-09-2020,0
